trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
TRD-INV2-0030,2026-01-18T13:49:00Z,Coinbase,BTC,BUY,0.02245009,109987.39,12.35
TRD-INV2-0031,2026-01-18T19:59:00Z,Coinbase,ETH,SELL,50.000000,257.135,27.04
TRD-INV2-0032,2026-01-19T01:43:00Z,Coinbase,DOGE,SELL,13333.34,0.244526,16.30
TRD-INV2-0033,2026-01-19T04:51:00Z,Binance,BTC,BUY,0.02221429,109023.35,2.42
TRD-INV2-0034,2026-01-19T08:11:00Z,Coinbase,DOGE,BUY,15392.32,0.209421,16.12
TRD-INV2-0035,2026-01-19T14:00:00Z,Coinbase,SOL,BUY,22.5629,193.919,21.88
TRD-INV2-0036,2026-01-19T20:45:00Z,Coinbase,BTC,BUY,0.04987289,95292.27,23.76
TRD-INV2-0037,2026-01-20T01:14:00Z,Binance,SOL,SELL,16.3347,258.776,4.23
TRD-INV2-0038,2026-01-20T11:48:00Z,Binance,DOGE,SELL,9464.87,0.182165,1.72
TRD-INV2-0039,2026-01-20T17:12:00Z,Coinbase,DOGE,BUY,27739.28,0.211111,29.28
TRD-INV2-0040,2026-01-21T02:33:00Z,Coinbase,CKB,BUY,427866,0.00615085,13.16
TRD-INV2-0041,2026-01-21T11:24:00Z,Binance,BTC,SELL,0.02957555,119835.01,3.54
TRD-INV2-0042,2026-01-21T20:01:00Z,Binance,DOGE,SELL,21626.11,0.267663,5.79
TRD-INV2-0043,2026-01-22T01:59:00Z,Coinbase,ETH,BUY,1.794949,3844.64,34.50
TRD-INV2-0044,2026-01-22T07:36:00Z,Binance,SOL,BUY,5.1293,236.810,1.21
TRD-INV2-0045,2026-01-22T17:27:00Z,Binance,DOGE,SELL,11787.88,0.186849,2.20
TRD-INV2-0046,2026-01-23T01:58:00Z,Binance,CKB,SELL,359123,0.00662952,2.38
TRD-INV2-0047,2026-01-23T07:11:00Z,Binance,CKB,SELL,166315,0.00747298,1.24
TRD-INV2-0048,2026-01-23T15:50:00Z,Coinbase,SOL,BUY,17.1478,245.261,21.03
TRD-INV2-0049,2026-01-23T19:07:00Z,Coinbase,BTC,BUY,0.02350819,96399.68,11.33
TRD-INV2-0050,2026-01-24T06:22:00Z,Binance,BTC,BUY,0.01568530,112346.49,1.76
TRD-INV2-0051,2026-01-24T14:06:00Z,Coinbase,SOL,SELL,8.3959,231.794,9.73
TRD-INV2-0052,2026-01-24T20:18:00Z,Coinbase,BTC,BUY,0.04218332,97011.36,20.46
TRD-INV2-0053,2026-01-25T05:21:00Z,Coinbase,SOL,SELL,9.0610,215.320,9.76
TRD-INV2-0054,2026-01-25T11:00:00Z,Binance,CKB,BUY,392921,0.00557113,2.19
TRD-INV2-0055,2026-01-25T21:35:00Z,Binance,DOGE,BUY,14854.10,0.249929,3.71
TRD-INV2-0056,2026-01-26T02:38:00Z,Binance,ETH,SELL,0.266684,4105.95,1.09
TRD-INV2-0057,2026-01-26T06:19:00Z,Binance,ETH,SELL,0.741288,4234.04,3.14
TRD-INV2-0058,2026-01-26T14:50:00Z,Binance,ETH,BUY,1.212076,3448.10,4.18
TRD-INV2-0059,2026-01-26T20:25:00Z,Coinbase,DOGE,SELL,14773.69,0.180815,13.36
TRD-INV2-0060,2026-01-27T00:32:00Z,Coinbase,SOL,SELL,21.9884,247.276,27.19
TRD-INV2-0061,2026-01-27T07:18:00Z,Binance,BTC,BUY,0.03072363,112934.74,3.47
TRD-INV2-0062,2026-01-27T17:13:00Z,Binance,CKB,BUY,546561,0.00803167,4.39
TRD-INV2-0063,2026-01-27T21:32:00Z,Coinbase,DOGE,BUY,9669.28,0.253006,12.23
TRD-INV2-0064,2026-01-28T03:03:00Z,Binance,SOL,SELL,14.4782,199.892,2.89
TRD-INV2-0065,2026-01-28T09:50:00Z,Coinbase,DOGE,SELL,11173.41,0.220894,12.34
TRD-INV2-0066,2026-01-28T16:44:00Z,Coinbase,BTC,SELL,0.04730899,101529.85,24.02
TRD-INV2-0067,2026-01-29T01:26:00Z,Binance,CKB,BUY,655343,0.00787325,5.16
TRD-INV2-0068,2026-01-29T12:36:00Z,Coinbase,CKB,BUY,493748,0.00771902,19.06
TRD-INV2-0069,2026-01-29T22:44:00Z,Binance,CKB,SELL,167256,0.00684847,1.15
TRD-INV2-0070,2026-01-30T10:41:00Z,Coinbase,SOL,BUY,19.2963,230.262,22.22
TRD-INV2-0071,2026-01-30T21:29:00Z,Coinbase,SOL,SELL,500.0000,194.885,14.71
TRD-INV2-0072,2026-01-31T08:18:00Z,Coinbase,BTC,BUY,0.03705565,114583.55,21.23
TRD-INV2-0073,2026-01-31T12:57:00Z,Coinbase,DOGE,BUY,20314.24,0.196802,19.99
TRD-INV2-0074,2026-01-31T18:31:00Z,Binance,CKB,BUY,318976,0.00580495,1.85
TRD-INV2-0075,2026-01-31T22:06:00Z,Binance,DOGE,SELL,15388.40,0.219975,3.39
TRD-INV2-0076,2026-02-01T03:49:00Z,Binance,SOL,BUY,11.8910,200.916,2.39
TRD-INV2-0077,2026-02-01T13:15:00Z,Binance,CKB,BUY,350015,0.00717241,2.51
TRD-INV2-0078,2026-02-01T21:30:00Z,Coinbase,CKB,SELL,514721,0.00728930,18.76
TRD-INV2-0079,2026-02-02T03:02:00Z,Coinbase,BTC,BUY,0.02403429,99047.77,11.90
TRD-INV2-0080,2026-02-02T06:39:00Z,Binance,BTC,SELL,0.01623802,113062.68,1.84
TRD-INV2-0081,2026-02-02T12:39:00Z,Binance,CKB,SELL,363771,0.00649186,2.36
TRD-INV2-0082,2026-02-02T21:40:00Z,Coinbase,ETH,SELL,1.316712,3669.09,24.16
TRD-INV2-0083,2026-02-03T06:03:00Z,Binance,SOL,BUY,11.7773,244.988,2.89
TRD-INV2-0084,2026-02-03T12:39:00Z,Binance,BTC,BUY,0.02692401,119230.05,3.21
TRD-INV2-0085,2026-02-03T19:06:00Z,Coinbase,ETH,SELL,1.466658,3667.42,26.89
TRD-INV2-0086,2026-02-03T23:40:00Z,Coinbase,ETH,SELL,1.404731,3929.83,27.60
TRD-INV2-0087,2026-02-04T09:03:00Z,Binance,SOL,BUY,7.9743,258.917,2.06
TRD-INV2-0088,2026-02-04T15:19:00Z,Coinbase,DOGE,BUY,16044.61,0.250845,20.12
TRD-INV2-0089,2026-02-05T02:15:00Z,Binance,ETH,BUY,1.640431,3310.79,5.43
TRD-INV2-0090,2026-02-05T09:03:00Z,Binance,ETH,BUY,0.772141,3237.35,2.50
TRD-INV2-0091,2026-02-05T16:15:00Z,Binance,CKB,SELL,442355,0.00712036,3.15
TRD-INV2-0092,2026-02-05T23:26:00Z,Coinbase,DOGE,SELL,9236.16,0.271388,12.53
TRD-INV2-0093,2026-02-06T07:45:00Z,Coinbase,SOL,BUY,12.3149,192.136,11.83
TRD-INV2-0094,2026-02-06T12:50:00Z,Binance,DOGE,BUY,13721.84,0.208324,2.86
TRD-INV2-0095,2026-02-06T19:15:00Z,Coinbase,BTC,BUY,0.01163714,102700.53,5.98
TRD-INV2-0096,2026-02-06T23:06:00Z,Coinbase,CKB,SELL,50000000,0.00590772,9.87
TRD-INV2-0097,2026-02-07T08:11:00Z,Coinbase,BTC,SELL,0.02440010,107282.43,13.09
TRD-INV2-0098,2026-02-07T14:24:00Z,Binance,DOGE,SELL,17227.05,0.228994,3.94
TRD-INV2-0099,2026-02-07T21:03:00Z,Coinbase,SOL,BUY,21.7570,257.778,28.04
TRD-INV2-0100,2026-02-08T04:26:00Z,Coinbase,CKB,SELL,278218,0.00778983,10.84
TRD-INV2-0101,2026-02-08T11:53:00Z,Binance,DOGE,SELL,8508.24,0.184656,1.57
TRD-INV2-0102,2026-02-08T17:53:00Z,Binance,ETH,BUY,1.475005,3461.73,5.11
TRD-INV2-0103,2026-02-09T03:30:00Z,Binance,DOGE,BUY,26545.74,0.251449,6.67
TRD-INV2-0104,2026-02-09T08:36:00Z,Binance,SOL,SELL,11.9472,177.154,2.12
TRD-INV2-0105,2026-02-09T13:52:00Z,Binance,DOGE,BUY,20139.16,0.269316,5.42
TRD-INV2-0106,2026-02-10T01:11:00Z,Coinbase,DOGE,BUY,23269.62,0.277426,32.28
TRD-INV2-0107,2026-02-10T05:30:00Z,Binance,BTC,SELL,0.04626046,101354.08,4.69
TRD-INV2-0108,2026-02-10T13:52:00Z,Coinbase,ETH,SELL,0.847648,4124.45,17.48
TRD-INV2-0109,2026-02-10T21:14:00Z,Coinbase,SOL,SELL,15.1946,223.288,16.96
TRD-INV2-0110,2026-02-11T00:42:00Z,Coinbase,DOGE,SELL,20181.13,0.194023,19.58
TRD-INV2-0111,2026-02-11T05:06:00Z,Binance,BTC,BUY,0.03689065,110939.18,4.09
TRD-INV2-0112,2026-02-11T15:27:00Z,Coinbase,DOGE,SELL,8985.37,0.217475,9.77
TRD-INV2-0113,2026-02-12T03:09:00Z,Coinbase,ETH,SELL,1.352083,3987.25,26.96
TRD-INV2-0114,2026-02-12T10:14:00Z,Binance,BTC,SELL,0.02122842,111746.15,2.37
TRD-INV2-0115,2026-02-12T14:50:00Z,Coinbase,SOL,BUY,14.0561,217.985,15.32
TRD-INV2-0116,2026-02-12T20:46:00Z,Coinbase,DOGE,SELL,22061.21,0.274629,30.29
TRD-INV2-0117,2026-02-13T02:22:00Z,Coinbase,CKB,SELL,246439,0.00870482,10.73
TRD-INV2-0118,2026-02-13T07:56:00Z,Coinbase,DOGE,BUY,11509.65,0.241500,13.90
TRD-INV2-0119,2026-02-13T17:02:00Z,Coinbase,DOGE,SELL,10800.61,0.217953,11.77
TRD-INV2-0120,2026-02-13T20:28:00Z,Binance,SOL,BUY,19.9239,177.518,3.54
